measurement_data;state_data;mode_probabilities;state_errors
[1.3008845e+04, 1.6130000e+02, 1.0000000e+00, 1.3008845e+04, 1.6130000e+02, 1.0000000e+00];[13049.90005208, 113.16051331, 76.99625797, 13067.48509578, 122.66611323, 45.39921242];[0.50072779, 0.49927221];[41.05505208, 48.13948669, 75.99625797, 58.64009578, 38.63388677, 44.39921242]
[1.302498e+04, 1.614000e+02, 1.000000e+00, 1.302498e+04, 1.614000e+02, 1.000000e+00];[13039.84573536, 146.41420731, 63.87780042, 13085.87240969, 133.77801951, 38.6199127];[0.50065501, 0.49934499];[14.86573536, 14.98579269, 62.87780042, 60.89240969, 27.62198049, 37.6199127]
[1.3041125e+04, 1.6150000e+02, 1.0000000e+00, 1.3041125e+04, 1.6150000e+02, 1.0000000e+00];[13045.92318758, 160.63417845, 22.38512118, 13105.965292, 133.36816578, 16.61124308];[0.50058951, 0.49941049];[4.79818758, 0.86582155, 21.38512118, 64.840292, 28.13183422, 15.61124308]
[1.305728e+04, 1.616000e+02, 1.000000e+00, 1.305728e+04, 1.616000e+02, 1.000000e+00];[1.30621397e+04, 1.56416813e+02, 3.99860670e+00, 1.31235025e+04, 1.25029512e+02, 7.70040616e+00];[0.50053056, 0.49946944];[4.85974764, 5.18318655, 2.9986067, 66.22247676, 36.57048766, 6.70040616]
[1.3073445e+04, 1.6170000e+02, 1.0000000e+00, 1.3073445e+04, 1.6170000e+02, 1.0000000e+00];[1.30748983e+04, 1.49669291e+02, 2.12756746e+00, 1.31361455e+04, 1.16623531e+02, 5.65990736e+00];[0.5004775, 0.4995225];[1.45331011, 12.03070932, 1.12756746, 62.70047306, 45.0764691, 4.65990736]
[1.308962e+04, 1.618000e+02, 1.000000e+00, 1.308962e+04, 1.618000e+02, 1.000000e+00];[1.30906154e+04, 1.47486146e+02, 2.73692174e+00, 1.31479794e+04, 1.13539528e+02, 6.18245886e+00];[0.50042975, 0.49957025];[0.99544389, 14.31385388, 1.73692174, 58.35943081, 48.26047187, 5.18245886]
[1.3105805e+04, 1.6190000e+02, 1.0000000e+00, 1.3105805e+04, 1.6190000e+02, 1.0000000e+00];[1.31029183e+04, 1.47350331e+02, 2.51857958e+00, 1.31583011e+04, 1.14755454e+02, 6.05021838e+00];[0.50038678, 0.49961322];[2.8866839, 14.54966891, 1.51857958, 52.4960901, 47.14454648, 5.05021838]
[1.3138205e+04, 1.6210000e+02, 1.0000000e+00, 1.3138205e+04, 1.6210000e+02, 1.0000000e+00];[1.31290491e+04, 1.51058907e+02, 3.60658540e+00, 1.31780353e+04, 1.21311869e+02, 8.89806916e+00];[0.5003481, 0.4996519];[9.15587976, 11.04109255, 2.6065854, 39.8303258, 40.78813126, 7.89806916]
[1.315442e+04, 1.622000e+02, 1.000000e+00, 1.315442e+04, 1.622000e+02, 1.000000e+00];[1.31524164e+04, 1.53346740e+02, 2.91417352e+00, 1.31986074e+04, 1.26252000e+02, 8.63586728e+00];[0.50031329, 0.49968671];[2.00362909, 8.8532597, 1.91417352, 44.18737007, 35.94799983, 7.63586728]
[1.3170645e+04, 1.6230000e+02, 1.0000000e+00, 1.3170645e+04, 1.6230000e+02, 1.0000000e+00];[1.31650528e+04, 1.55041272e+02, 1.16480284e+00, 1.32168656e+04, 1.29852233e+02, 3.05565943e+00];[0.50028196, 0.49971804];[5.59222142, 7.258728, 0.16480284, 46.22057183, 32.44776696, 2.05565943]
