measurement_data;state_data;mode_probabilities;state_errors
[2.88, 2.4, 1., 2.88, 2.4, 1.];[2.88003878, 2.39930474, 0.9998881, 2.88003878, 2.39930474, 0.9998881];[9.99848330e-01, 1.51669687e-04];[3.87774847e-05, 6.95259544e-04, 1.11900717e-04, 3.87774847e-05, 6.95259544e-04, 1.11900717e-04]
[3.125, 2.5, 1., 3.125, 2.5, 1.];[3.1250092, 2.49941726, 0.99988207, 3.1250092, 2.49941726, 0.99988207];[9.99848931e-01, 1.51068560e-04];[9.19591597e-06, 5.82741763e-04, 1.17929729e-04, 9.19591597e-06, 5.82741763e-04, 1.17929729e-04]
[3.38, 2.6, 1., 3.38, 2.6, 1.];[3.37998674, 2.59951166, 0.99987696, 3.37998674, 2.59951166, 0.99987696];[9.99849392e-01, 1.50608208e-04];[1.32628803e-05, 4.88341049e-04, 1.23038481e-04, 1.32628803e-05, 4.88341049e-04, 1.23038481e-04]
[3.645, 2.7, 1., 3.645, 2.7, 1.];[3.64496999, 2.69959098, 0.99987263, 3.64496999, 2.69959098, 0.99987263];[9.99849748e-01, 1.50252214e-04];[3.00147600e-05, 4.09019907e-04, 1.27367839e-04, 3.00147600e-05, 4.09019907e-04, 1.27367839e-04]
[3.92, 2.8, 1., 3.92, 2.8, 1.];[3.91995779, 2.79965766, 0.99986897, 3.91995779, 2.79965766, 0.99986897];[9.99850028e-01, 1.49971850e-04];[4.22052965e-05, 3.42336781e-04, 1.31031528e-04, 4.22052965e-05, 3.42336781e-04, 1.31031528e-04]
[4.205, 2.9, 1., 4.205, 2.9, 1.];[4.20494924, 2.89971371, 0.99986587, 4.20494924, 2.89971371, 0.99986587];[9.99850249e-01, 1.49750576e-04];[5.07634650e-05, 2.86292335e-04, 1.34129696e-04, 5.07634650e-05, 2.86292335e-04, 1.34129696e-04]
[4.5, 3., 1., 4.5, 3., 1.];[4.49994356, 2.99976077, 0.99986325, 4.49994356, 2.99976077, 0.99986325];[9.99850425e-01, 1.49574759e-04];[5.64434511e-05, 2.39227043e-04, 1.36745626e-04, 5.64434511e-05, 2.39227043e-04, 1.36745626e-04]
[4.805, 3.1, 1., 4.805, 3.1, 1.];[4.80494014, 3.09980025, 0.99986105, 4.80494014, 3.09980025, 0.99986105];[9.99850566e-01, 1.49433869e-04];[5.98577398e-05, 1.99751030e-04, 1.38949997e-04, 5.98577398e-05, 1.99751030e-04, 1.38949997e-04]
[5.12, 3.2, 1., 5.12, 3.2, 1.];[5.1199385, 3.19983331, 0.99985919, 5.1199385, 3.19983331, 0.99985919];[9.99850677e-01, 1.49322700e-04];[6.15035530e-05, 1.66693547e-04, 1.40806085e-04, 6.15035530e-05, 1.66693547e-04, 1.40806085e-04]
[5.445, 3.3, 1., 5.445, 3.3, 1.];[5.44493822, 3.29986094, 0.99985764, 5.44493822, 3.29986094, 0.99985764];[9.99850768e-01, 1.49232401e-04];[6.17840738e-05, 1.39063874e-04, 1.42363014e-04, 6.17840738e-05, 1.39063874e-04, 1.42363014e-04]
[5.78, 3.4, 1., 5.78, 3.4, 1.];[5.77993897, 3.39988398, 0.99985633, 5.77993897, 3.39988398, 0.99985633];[9.99850839e-01, 1.49161173e-04];[6.10256877e-05, 1.16022524e-04, 1.43668172e-04, 6.10256877e-05, 1.16022524e-04, 1.43668172e-04]
[6.125, 3.5, 1., 6.125, 3.5, 1.];[6.12494051, 3.49990314, 0.99985524, 6.12494051, 3.49990314, 0.99985524];[9.99850898e-01, 1.49102209e-04];[5.94918977e-05, 9.68562163e-05, 1.44756563e-04, 5.94918977e-05, 9.68562163e-05, 1.44756563e-04]
[6.48, 3.6, 1., 6.48, 3.6, 1.];[6.47994261, 3.59991904, 0.99985434, 6.47994261, 3.59991904, 0.99985434];[9.99850944e-01, 1.49055534e-04];[5.73947507e-05, 8.09594754e-05, 1.45663755e-04, 5.73947507e-05, 8.09594754e-05, 1.45663755e-04]
[6.845, 3.7, 1., 6.845, 3.7, 1.];[6.8449451, 3.69993218, 0.99985359, 6.8449451, 3.69993218, 0.99985359];[9.99850984e-01, 1.49016024e-04];[5.49040854e-05, 6.78173086e-05, 1.46414869e-04, 5.49040854e-05, 6.78173086e-05, 1.46414869e-04]
[7.22, 3.8, 1., 7.22, 3.8, 1.];[7.21994784, 3.79994301, 0.99985296, 7.21994784, 3.79994301, 0.99985296];[9.99851016e-01, 1.48984476e-04];[5.21551934e-05, 5.69926797e-05, 1.47036405e-04, 5.21551934e-05, 5.69926797e-05, 1.47036405e-04]
[7.605, 3.9, 1., 7.605, 3.9, 1.];[7.60495074, 3.89995189, 0.99985245, 7.60495074, 3.89995189, 0.99985245];[9.99851040e-01, 1.48959582e-04];[4.92550413e-05, 4.81143063e-05, 1.47548923e-04, 4.92550413e-05, 4.81143063e-05, 1.47548923e-04]
[8., 4., 1., 8., 4., 1.];[7.99995371, 3.99995913, 0.99985203, 7.99995371, 3.99995913, 0.99985203];[9.99851060e-01, 1.48939908e-04];[4.62874247e-05, 4.08671186e-05, 1.47969550e-04, 4.62874247e-05, 4.08671186e-05, 1.47969550e-04]
[8.405, 4.1, 1., 8.405, 4.1, 1.];[8.40495668, 4.09996502, 0.99985169, 8.40495668, 4.09996502, 0.99985169];[9.99851075e-01, 1.48924642e-04];[4.33172141e-05, 3.49840626e-05, 1.48313230e-04, 4.33172141e-05, 3.49840626e-05, 1.48313230e-04]
[8.82, 4.2, 1., 8.82, 4.2, 1.];[8.81995961, 4.19996976, 0.99985141, 8.81995961, 4.19996976, 0.99985141];[9.99851090e-01, 1.48909935e-04];[4.03938424e-05, 3.02386905e-05, 1.48589466e-04, 4.03938424e-05, 3.02386905e-05, 1.48589466e-04]
[9.245, 4.3, 1., 9.245, 4.3, 1.];[9.24496245, 4.29997356, 0.99985119, 9.24496245, 4.29997356, 0.99985119];[9.99851099e-01, 1.48900908e-04];[3.75542491e-05, 2.64402954e-05, 1.48814676e-04, 3.75542491e-05, 2.64402954e-05, 1.48814676e-04]
[9.68, 4.4, 1., 9.68, 4.4, 1.];[9.67996517, 4.39997657, 0.99985101, 9.67996517, 4.39997657, 0.99985101];[9.99851109e-01, 1.48891457e-04];[3.48251912e-05, 2.34268388e-05, 1.48992339e-04, 3.48251912e-05, 2.34268388e-05, 1.48992339e-04]
