measurement_data;state_data;mode_probabilities;state_errors
[104.2, 1., 0., 104.2, 1., 0.];[104.79726007, 0.61376238, 0.12555198, 104.79726007, 0.61376238, 0.12555198];[1.09787788e-08, 9.99999989e-01];[0.59726007, 0.38623762, 0.12555198, 0.59726007, 0.38623762, 0.12555198]
[104.4, 1., 0., 104.4, 1., 0.];[104.93417201, 0.6234215, 0.1291764, 104.93417201, 0.6234215, 0.1291764];[1.10322396e-08, 9.99999989e-01];[0.53417201, 0.3765785, 0.1291764, 0.53417201, 0.3765785, 0.1291764]
[104.5, 1., 0., 104.5, 1., 0.];[105.06559073, 0.62651816, 0.12703304, 105.06559073, 0.62651816, 0.12703304];[1.10042760e-08, 9.99999989e-01];[0.56559073, 0.37348184, 0.12703304, 0.56559073, 0.37348184, 0.12703304]
[104.6, 1., 0., 104.6, 1., 0.];[105.19078911, 0.62409123, 0.12352592, 105.19078911, 0.62409123, 0.12352592];[1.09790676e-08, 9.99999989e-01];[0.59078911, 0.37590877, 0.12352592, 0.59078911, 0.37590877, 0.12352592]
[104.7, 1., 0., 104.7, 1., 0.];[105.3096903, 0.61800395, 0.12092687, 105.3096903, 0.61800395, 0.12092687];[1.09609855e-08, 9.99999989e-01];[0.6096903, 0.38199605, 0.12092687, 0.6096903, 0.38199605, 0.12092687]
[104.8, 1., 0., 104.8, 1., 0.];[105.42281559, 0.61018928, 0.12006169, 105.42281559, 0.61018928, 0.12006169];[1.09507375e-08, 9.99999989e-01];[0.62281559, 0.38981072, 0.12006169, 0.62281559, 0.38981072, 0.12006169]
[104.9, 1., 0., 104.9, 1., 0.];[105.53109376, 0.60223244, 0.12089018, 105.53109376, 0.60223244, 0.12089018];[1.09468599e-08, 9.99999989e-01];[0.63109376, 0.39776756, 0.12089018, 0.63109376, 0.39776756, 0.12089018]
[105., 1., 0., 105., 1., 0.];[105.63563996, 0.59520647, 0.12294846, 105.63563996, 0.59520647, 0.12294846];[1.09472552e-08, 9.99999989e-01];[0.63563996, 0.40479353, 0.12294846, 0.63563996, 0.40479353, 0.12294846]
[105.1, 1., 0., 105.1, 1., 0.];[105.73756584, 0.58967463, 0.12565153, 105.73756584, 0.58967463, 0.12565153];[1.09500267e-08, 9.99999989e-01];[0.63756584, 0.41032537, 0.12565153, 0.63756584, 0.41032537, 0.12565153]
[105.2, 1., 0., 105.2, 1., 0.];[105.83784791, 0.58578499, 0.12847326, 105.83784791, 0.58578499, 0.12847326];[1.09537500e-08, 9.99999989e-01];[0.63784791, 0.41421501, 0.12847326, 0.63784791, 0.41421501, 0.12847326]
[105.3, 1., 0., 105.3, 1., 0.];[105.93725769, 0.58340036, 0.13103126, 105.93725769, 0.58340036, 0.13103126];[1.09574732e-08, 9.99999989e-01];[0.63725769, 0.41659964, 0.13103126, 0.63725769, 0.41659964, 0.13103126]
[105.4, 1., 0., 105.4, 1., 0.];[106.0363437, 0.5822258, 0.13310576, 106.0363437, 0.5822258, 0.13310576];[1.09606358e-08, 9.99999989e-01];[0.6363437, 0.4177742, 0.13310576, 0.6363437, 0.4177742, 0.13310576]
[105.5, 1., 0., 105.5, 1., 0.];[106.13544994, 0.58191244, 0.1346194, 106.13544994, 0.58191244, 0.1346194];[1.09629797e-08, 9.99999989e-01];[0.63544994, 0.41808756, 0.1346194, 0.63544994, 0.41808756, 0.1346194]
[105.7, 1., 0., 105.7, 1., 0.];[106.25662454, 0.59587086, 0.14043113, 106.25662454, 0.59587086, 0.14043113];[1.10322163e-08, 9.99999989e-01];[0.55662454, 0.40412914, 0.14043113, 0.55662454, 0.40412914, 0.14043113]
