measurement_data;state_data;mode_probabilities;state_errors
[1.4329621e+00, 7.4608610e-02, -6.2226800e-03, 4.1748712e-01, 1.8866409e-01, 9.3975000e-04];[1.5667105, -0.00849227, -0.00791189, 0.7336047, 0.14969603, 0.00214276];[7.27759030e-09, 9.99999993e-01];[0.1337484, 0.08310088, 0.00168921, 0.31611758, 0.03896806, 0.00120301]
[1.85599015, 0.0249637, -0.00841396, 1.02997961, 0.17914148, 0.0046625];[1.59043249, 0.00651971, -0.0025805, 0.77230583, 0.16509957, 0.00775176];[7.27419658e-09, 9.99999993e-01];[0.26555766, 0.01844399, 0.00583346, 0.25767378, 0.01404191, 0.00308926]
[1.58991895e+00, 4.95995100e-02, -7.54650000e-04, 4.93579070e-01, 1.81835440e-01, -5.12120000e-04];[1.59265022e+00, 9.61377496e-03, 1.42035148e-03, 7.65904599e-01, 1.53173378e-01, 4.23099034e-03];[7.27744654e-09, 9.99999993e-01];[0.00273127, 0.03998574, 0.002175, 0.27232553, 0.02866206, 0.00474311]
[1.94071893, 0.06054978, -0.0074563, 0.89415186, 0.15349673, 0.00679685];[1.62307052, 0.02892643, 0.00655993, 0.79019586, 0.15888196, 0.00592383];[7.27536034e-09, 9.99999993e-01];[0.31764841, 0.03162335, 0.01401623, 0.103956, 0.00538523, 0.00087302]
[1.14225925, -0.01632863, -0.00143204, 0.93927419, 0.18846634, 0.0070522];[1.58604535, 0.00359463, -0.00375976, 0.81773989, 0.1678007, 0.00983637];[7.27056130e-09, 9.99999993e-01];[0.4437861, 0.01992326, 0.00232772, 0.1215343, 0.02066564, 0.00278417]
[1.45786853e+00, 4.39879400e-02, -1.07666000e-03, 5.69274860e-01, 1.17443580e-01, 3.31722000e-03];[1.57787295e+00, 5.66550791e-04, -9.29497812e-04, 8.11726810e-01, 1.52443267e-01, 1.46934084e-03];[7.27654309e-09, 9.99999993e-01];[1.20004422e-01, 4.34213892e-02, 1.47162188e-04, 2.42451950e-01, 3.49996871e-02, 1.84787916e-03]
[1.60279242e+00, 6.59314500e-02, -6.05680000e-04, 5.64480330e-01, 1.34361260e-01, -2.30848000e-03];[1.58240745, 0.00653017, 0.00477926, 0.80571323, 0.13901729, -0.00346088];[7.27682760e-09, 9.99999993e-01];[0.02038497, 0.05940128, 0.00538494, 0.2412329, 0.00465603, 0.0011524]
[1.94715695e+00, 6.97598400e-02, -7.53679000e-03, 5.97592320e-01, 1.14080330e-01, -1.76947000e-03];[1.61390641, 0.02763332, 0.01026481, 0.80131878, 0.12678329, -0.0071543];[7.27339090e-09, 9.99999993e-01];[0.33325054, 0.04212652, 0.0178016, 0.20372646, 0.01270296, 0.00538483]
[1.07341651, 0.04571183, -0.00439791, 1.1255851, 0.15667359, -0.00269706];[1.57504008e+00, 4.24575119e-03, 2.81578573e-03, 8.39426111e-01, 1.42854382e-01, -5.51153480e-04];[7.26816716e-09, 9.99999993e-01];[0.50162357, 0.04146608, 0.0072137, 0.28615899, 0.01381921, 0.00214591]
[0.96792952, 0.03648622, -0.0071244, 0.43852185, 0.14382741, 0.00450293];[1.52948294, -0.0214608, -0.00282087, 0.82149708, 0.12416973, -0.00311747];[7.26504689e-09, 9.99999993e-01];[0.56155342, 0.05794702, 0.00430353, 0.38297523, 0.01965768, 0.0076204]
[1.84251091, 0.06667935, -0.00261655, 0.55334345, 0.14827646, -0.00254261];[1.55521238e+00, -7.40570456e-04, 7.52817657e-03, 8.13084593e-01, 1.12863573e-01, -3.61536926e-03];[7.27288353e-09, 9.99999993e-01];[0.28729853, 0.06741992, 0.01014473, 0.25974114, 0.03541289, 0.00107276]
[0.96739485, 0.06217382, -0.00918289, 0.7624693, 0.15290155, 0.00594784];[1.51201944, -0.02324658, 0.00284732, 0.82115459, 0.11321251, 0.00156195];[7.27168379e-09, 9.99999993e-01];[0.54462459, 0.0854204, 0.01203021, 0.05868529, 0.03968904, 0.00438589]
[1.87523901e+00, 1.30522200e-02, -6.48255000e-03, 7.41156430e-01, 1.79975890e-01, 8.78080000e-04];[1.53936983, -0.00409043, 0.00693594, 0.8280084, 0.11408008, 0.00602954];[7.27508827e-09, 9.99999993e-01];[0.33586918, 0.01714265, 0.01341849, 0.08685197, 0.06589581, 0.00515146]
[1.00678834e+00, 6.51966400e-02, 4.67470000e-04, 9.16305700e-01, 1.83340860e-01, 4.62169000e-03];[1.50051314, -0.02307111, 0.00590729, 0.84805779, 0.12320262, 0.01208484];[7.27184935e-09, 9.99999993e-01];[0.4937248, 0.08826775, 0.00543982, 0.06824791, 0.06013824, 0.00746315]
[1.62213966, 0.05425941, -0.00687622, 0.55534656, 0.15250871, 0.00310043];[1.51076256, -0.01186461, 0.01019762, 0.83794795, 0.11199463, 0.00922756];[7.27656117e-09, 9.99999993e-01];[0.1113771, 0.06612402, 0.01707384, 0.28260139, 0.04051408, 0.00612713]
[1.64701306, -0.01524466, -0.00509937, 1.30503091, 0.11370997, -0.00197142];[1.52002021, -0.00575304, 0.00726425, 0.88437661, 0.13322053, 0.01079687];[7.27413934e-09, 9.99999993e-01];[0.12699285, 0.00949162, 0.01236362, 0.4206543, 0.01951056, 0.01276829]
[1.60358782e+00, -1.63763400e-02, -5.27400000e-04, 4.51652960e-01, 1.28681370e-01, -2.74970000e-03];[1.52550647, -0.00245764, 0.00515087, 0.86309072, 0.11266246, 0.00264551];[7.27349042e-09, 9.99999993e-01];[0.07808135, 0.0139187, 0.00567827, 0.41143776, 0.01601891, 0.00539521]
[1.26774839e+00, -1.84869900e-02, -6.68347000e-03, 1.34917491e+00, 1.82643880e-01, 1.29389000e-03];[1.5047566, -0.01564791, -0.00167493, 0.91369046, 0.13975689, 0.01260397];[7.26869434e-09, 9.99999993e-01];[0.23700821, 0.00283908, 0.00500854, 0.43548445, 0.04288699, 0.01131008]
[1.68233155e+00, -1.51280600e-02, -7.72700000e-04, 9.08630920e-01, 1.89769780e-01, 4.22644000e-03];[1.51701832e+00, -7.50063778e-03, 3.19408567e-04, 9.28137788e-01, 1.43256369e-01, 1.43363749e-02];[7.27818340e-09, 9.99999993e-01];[0.16531323, 0.00762742, 0.00109211, 0.01950687, 0.04651341, 0.01010993]
[1.72427846e+00, 2.11221600e-02, -1.14498000e-03, 1.12760300e+00, 1.68459220e-01, 1.37390000e-03];[1.53340599, 0.00409132, 0.00430118, 0.95768683, 0.15418174, 0.01478522];[7.27693632e-09, 9.99999993e-01];[0.19087247, 0.01703084, 0.00544616, 0.16991617, 0.01427748, 0.01341132]
