measurement_data;state_data;mode_probabilities;state_errors
[2.52517235, 1.03127921, 0.0035652, 2.35756084, 1.00857904, 0.00497179];[2.62794314e+00, 1.04241165e+00, -4.28317107e-04, 2.56218259e+00, 1.04726333e+00, 1.33958615e-03];[7.27752540e-09, 9.99999993e-01];[0.10277079, 0.01113244, 0.00399352, 0.20462175, 0.03868429, 0.0036322]
[2.53645473e+00, 1.07065973e+00, 2.26946000e-03, 2.22533869e+00, 1.05421980e+00, 6.58824000e-03];[2.71755774e+00, 1.03578237e+00, 7.71723755e-04, 2.63173367e+00, 1.02811970e+00, -8.21055879e-04];[7.27387464e-09, 9.99999993e-01];[0.18110301, 0.03487736, 0.00149774, 0.40639498, 0.0261001, 0.0074093]
[3.23540704e+00, 1.00037204e+00, 5.05617000e-03, 2.48147645e+00, 1.09232486e+00, 1.18559000e-03];[2.85281780e+00, 1.05226905e+00, 2.78290483e-03, 2.71683933e+00, 1.02152053e+00, 2.61280702e-03];[7.27453295e-09, 9.99999993e-01];[0.38258924, 0.05189701, 0.00227327, 0.23536288, 0.07080433, 0.00142722]
[3.36174443e+00, 1.08653437e+00, 8.34207000e-03, 2.72625790e+00, 1.00753786e+00, 9.57920000e-04];[2.99138256e+00, 1.07384206e+00, 1.07348640e-02, 2.81109941e+00, 1.01638038e+00, 1.62062177e-04];[7.27358737e-09, 9.99999993e-01];[0.37036187, 0.01269231, 0.00239279, 0.08484151, 0.00884252, 0.00079586]
[3.38377808, 1.02718334, 0.00559556, 3.08149881, 1.06913145, 0.00793027];[3.11944382, 1.08402537, 0.00817016, 2.92810529, 1.02851501, 0.00804339];[7.27659806e-09, 9.99999993e-01];[2.64334262e-01, 5.68420288e-02, 2.57459669e-03, 1.53393517e-01, 4.06164372e-02, 1.13123069e-04]
[3.36590343, 1.03533196, 0.00668373, 3.51636333, 1.03060946, 0.00662396];[3.23681134, 1.08733955, 0.00501338, 3.06917317, 1.0514963, 0.01234147];[7.27268386e-09, 9.99999993e-01];[0.12909209, 0.05200759, 0.00167035, 0.44719016, 0.02088684, 0.00571751]
[3.06600588, 1.03364073, 0.00413939, 3.6229577, 1.09542382, 0.00548101];[3.32158311e+00, 1.07096002e+00, -2.30411347e-03, 3.21113841e+00, 1.07602992e+00, 1.83389659e-02];[7.26963164e-09, 9.99999993e-01];[0.25557723, 0.03731929, 0.0064435, 0.41181929, 0.0193939, 0.01285796]
[3.45039447, 1.0613623, 0.00760299, 3.59563401, 1.00932534, 0.00589875];[3.43002472e+00, 1.07158883e+00, -3.58436766e-04, 3.33775196e+00, 1.08468740e+00, 1.21428284e-02];[7.27921761e-09, 9.99999993e-01];[0.02036975, 0.01022653, 0.00796143, 0.25788205, 0.07536206, 0.00624408]
[3.47638116e+00, 1.05372125e+00, 4.65844000e-03, 3.61310933e+00, 1.09984520e+00, 3.60507000e-03];[3.53176760e+00, 1.06773056e+00, -1.13258411e-03, 3.45979225e+00, 1.09408193e+00, 1.27056053e-02];[7.27856001e-09, 9.99999993e-01];[0.05538644, 0.01400931, 0.00579102, 0.15331708, 0.00576327, 0.00910054]
[3.24948861, 1.09299031, 0.00858923, 3.02467117, 1.00258376, 0.00848797];[3.60931201e+00, 1.05226137e+00, -2.56838335e-04, 3.52332925e+00, 1.06329630e+00, -1.18467258e-03];[7.26477753e-09, 9.99999993e-01];[0.3598234, 0.04072894, 0.00884607, 0.49865808, 0.06071254, 0.00967264]
[3.27169009e+00, 1.01661523e+00, 4.75563000e-03, 3.66381980e+00, 1.02093952e+00, 1.42679000e-03];[3.67880969, 1.02960996, -0.00613059, 3.63066787, 1.06175505, -0.00368882];[7.27307479e-09, 9.99999993e-01];[0.4071196, 0.01299473, 0.01088622, 0.03315193, 0.04081553, 0.00511561]
[3.78442667e+00, 1.09724677e+00, 6.87620000e-03, 3.59500659e+00, 1.09469143e+00, 1.96916000e-03];[3.78463585e+00, 1.03492593e+00, 2.83586313e-03, 3.72714866e+00, 1.05768718e+00, -8.47531023e-04];[7.27896805e-09, 9.99999993e-01];[0.00020918, 0.06232084, 0.00404034, 0.13214207, 0.03700425, 0.00281669]
[4.03821793e+00, 1.07047027e+00, 3.20167000e-03, 4.01179938e+00, 1.06805407e+00, 7.23215000e-03];[3.90112794e+00, 1.04471457e+00, 7.27202931e-03, 3.84718125e+00, 1.06703197e+00, 3.76637550e-03];[7.27716055e-09, 9.99999993e-01];[0.13708999, 0.0257557, 0.00407036, 0.16461813, 0.0010221, 0.00346577]
[3.76940889e+00, 1.06237917e+00, 7.78991000e-03, 4.07906219e+00, 1.09954258e+00, 3.84116000e-03];[3.98803729, 1.03590411, 0.00655695, 3.96482919, 1.07552339, 0.00763512];[7.27693930e-09, 9.99999993e-01];[0.2186284, 0.02647506, 0.00123296, 0.114233, 0.02401919, 0.00379396]
[4.11059028e+00, 1.06630924e+00, 7.73242000e-03, 3.69462224e+00, 1.08458646e+00, 3.35013000e-03];[4.09428448e+00, 1.03969382e+00, 9.49745544e-03, 4.04355450e+00, 1.05934565e+00, 3.63835550e-03];[7.27497084e-09, 9.99999993e-01];[1.63058028e-02, 2.66154218e-02, 1.76503544e-03, 3.48932259e-01, 2.52408080e-02, 2.88225504e-04]
[3.93360774, 1.08283684, 0.00821979, 3.96778596, 1.08789738, 0.00841312];[4.17951422, 1.03155813, 0.01014483, 4.13659309, 1.05373908, 0.00545114];[7.27672862e-09, 9.99999993e-01];[0.24590648, 0.05127871, 0.00192504, 0.16880713, 0.0341583, 0.00296198]
[3.81455896e+00, 1.03928888e+00, 8.55579000e-03, 4.41484466e+00, 1.09254021e+00, 1.09033000e-03];[4.24686814, 1.01152146, 0.0058359, 4.25680709, 1.0647798, 0.0091609];[7.27179447e-09, 9.99999993e-01];[0.43230918, 0.02776742, 0.00271989, 0.15803757, 0.02776041, 0.00807057]
[4.26051688e+00, 1.05933485e+00, 5.83410000e-04, 4.40096313e+00, 1.09288128e+00, 1.65023000e-03];[4.34312966, 1.01127636, 0.00758128, 4.3672733, 1.06899526, 0.00986723];[7.27908789e-09, 9.99999993e-01];[0.08261278, 0.04805849, 0.00699787, 0.03368983, 0.02388602, 0.008217]
[4.25294971e+00, 1.07143136e+00, 3.95600000e-04, 4.27474798e+00, 1.09679955e+00, 1.86250000e-04];[4.43184799, 1.00723136, 0.00885462, 4.45987152, 1.06225968, 0.00773192];[7.27781058e-09, 9.99999993e-01];[0.17889828, 0.0642, 0.00845902, 0.18512354, 0.03453987, 0.00754567]
[4.26386041e+00, 1.08697913e+00, 2.93628000e-03, 4.01807712e+00, 1.00818949e+00, 2.20238000e-03];[4.51497270e+00, 1.00127066e+00, 1.13234388e-02, 4.52176158e+00, 1.03354559e+00, -3.44170821e-03];[7.26744255e-09, 9.99999993e-01];[0.25111229, 0.08570847, 0.00838716, 0.50368446, 0.0253561, 0.00564409]
