measurement_data;state_data;mode_probabilities;state_errors
[0.96891242, -0.0247404, -0.00968912, 0.24740396, 0.09689124, -0.00247404];[0.96989395, -0.02550238, -0.01021303, 0.23992131, 0.10003389, -0.0075572];[6.35011529e-09, 9.99999994e-01];[0.00098153, 0.00076198, 0.00052391, 0.00748265, 0.00314265, 0.00508316]
[0.96638998, -0.02570806, -0.0096639, 0.25708055, 0.096639, -0.00257081];[0.96725559, -0.02643244, -0.00996598, 0.25037514, 0.09939233, -0.00767458];[6.34982003e-09, 9.99999994e-01];[0.00086561, 0.00072438, 0.00030208, 0.00670541, 0.00275333, 0.00510377]
[0.9637709, -0.02667314, -0.00963771, 0.26673144, 0.09637709, -0.00266731];[0.96453237, -0.02734569, -0.00975053, 0.26071692, 0.09875968, -0.00770376];[6.34975565e-09, 9.99999994e-01];[0.00076147, 0.00067255, 0.00011282, 0.00601452, 0.00238259, 0.00503645]
[0.96105544, -0.02763556, -0.00961055, 0.27635565, 0.09610554, -0.00276356];[0.96172399, -0.02824715, -0.00956744, 0.27095509, 0.09814299, -0.00765671];[6.34981274e-09, 9.99999994e-01];[6.68547947e-04, 6.11594868e-04, 4.31125539e-05, 5.40056187e-03, 2.03745170e-03, 4.89315070e-03]
[0.95824388, -0.02859522, -0.00958244, 0.28595223, 0.09582439, -0.00285952];[0.95883005, -0.02914101, -0.00941595, 0.28109715, 0.09754704, -0.00754642];[6.34991835e-09, 9.99999994e-01];[0.00058617, 0.00054579, 0.00016649, 0.00485508, 0.00172265, 0.0046869]
[0.95233357, -0.03050586, -0.00952334, 0.30505864, 0.09523336, -0.00305059];[0.9555511, -0.03038084, -0.00963834, 0.29193631, 0.09753176, -0.00722146];[6.35001603e-09, 9.99999994e-01];[0.00321753, 0.00012502, 0.000115, 0.01312233, 0.0022984, 0.00417087]
[0.94923542, -0.03145666, -0.00949235, 0.31456656, 0.09492354, -0.00314567];[0.95218864, -0.03156631, -0.00974405, 0.30264532, 0.09740246, -0.00706313];[6.35010800e-09, 9.99999994e-01];[0.00295322, 0.00010965, 0.0002517, 0.01192124, 0.00247892, 0.00391746]
[0.94604234, -0.0324043, -0.00946042, 0.32404303, 0.09460423, -0.00324043];[0.94874391, -0.0326997, -0.0097609, 0.31322806, 0.09717256, -0.00701919];[6.35017180e-09, 9.99999994e-01];[0.00270157, 0.0002954, 0.00030048, 0.01081497, 0.00256833, 0.00377876]
[0.94275467, -0.03334871, -0.00942755, 0.33348709, 0.09427547, -0.00333487];[0.94521808, -0.03378471, -0.00971291, 0.32368832, 0.0968563, -0.00704745];[6.35020687e-09, 9.99999994e-01];[0.00246341, 0.000436, 0.00028536, 0.00979877, 0.00258083, 0.00371258]
[0.93937271, -0.03428978, -0.00939373, 0.34289781, 0.09393727, -0.00342898];[0.9416121, -0.03482592, -0.00962039, 0.33402988, 0.09646792, -0.00711485];[6.35021738e-09, 9.99999994e-01];[0.00223939, 0.00053614, 0.00022666, 0.00886793, 0.00253065, 0.00368587]
