measurement_data;state_data;mode_probabilities;state_errors
[0.98558477, -0.01691823, 0.16918235, 0.09855848, -0.00985585, -0.00169182];[0.98694596, -0.01179468, 0.16927312, 0.09919874, -0.01010874, -0.00104783];[0.72839366, 0.13580317, 0.13580317];[1.36118681e-03, 5.12355413e-03, 9.07746238e-05, 6.40258948e-04, 2.52887981e-04, 6.43986522e-04]
[0.98384369, -0.01790296, 0.17902957, 0.09838437, -0.00983844, -0.0017903];[0.98535304, -0.01252505, 0.1791381, 0.09909801, -0.01011761, -0.00111217];[0.73725082, 0.13137459, 0.13137459];[0.00150935, 0.00537791, 0.00010853, 0.00071364, 0.00027917, 0.00067813]
[0.98200424, -0.01888589, 0.18885889, 0.09820042, -0.00982004, -0.00188859];[0.98366188, -0.01327464, 0.18898692, 0.09898939, -0.01012564, -0.00117706];[0.74473638, 0.12763181, 0.12763181];[0.00165764, 0.00561125, 0.00012803, 0.00078897, 0.0003056, 0.00071153]
[0.98006658, -0.01986693, 0.19866933, 0.09800666, -0.00980067, -0.00198669];[0.98187154, -0.01404324, 0.19881856, 0.09887252, -0.01013273, -0.00124255];[0.7510249, 0.12448755, 0.12448755];[0.00180496, 0.00582369, 0.00014923, 0.00086586, 0.00033206, 0.00074414]
[0.97803091, -0.02084599, 0.2084599, 0.09780309, -0.00978031, -0.0020846];[0.97998121, -0.01483034, 0.20863194, 0.0987471, -0.01013884, -0.00130869];[0.75627893, 0.12186054, 0.12186054];[0.0019503, 0.00601565, 0.00017204, 0.00094401, 0.00035853, 0.00077591]
[0.97589745, -0.02182296, 0.21822962, 0.09758974, -0.00975897, -0.0021823];[0.97799024, -0.01563517, 0.21842599, 0.09861286, -0.01014395, -0.00137551];[0.76064603, 0.11967699, 0.11967699];[0.00209279, 0.00618779, 0.00019637, 0.00102312, 0.00038498, 0.00080679]
[0.9736664, -0.02279775, 0.22797752, 0.09736664, -0.00973666, -0.00227978];[0.9758981, -0.01645679, 0.22819966, 0.09846954, -0.01014805, -0.001443];[0.76425754, 0.11787123, 0.11787123];[0.0022317, 0.00634096, 0.00022214, 0.0011029, 0.00041139, 0.00083678]
[0.97133797, -0.02377026, 0.23770263, 0.0971338, -0.00971338, -0.00237703];[0.9737044, -0.01729412, 0.23795187, 0.09831696, -0.01015114, -0.00151119];[0.76722856, 0.11638572, 0.11638572];[0.00236643, 0.00647614, 0.00024924, 0.00118316, 0.00043776, 0.00086584]
[0.96891242, -0.0247404, 0.24740396, 0.09689124, -0.00968912, -0.00247404];[0.97140883, -0.01814605, 0.24768154, 0.09815493, -0.01015325, -0.00158007];[0.7696587, 0.11517065, 0.11517065];[0.00249641, 0.00659435, 0.00027758, 0.00126369, 0.00046413, 0.00089397]
[0.96638998, -0.02570806, 0.25708055, 0.096639, -0.0096639, -0.00257081];[0.96901125, -0.01901138, 0.2573876, 0.09798331, -0.01015442, -0.00164963];[0.77163331, 0.11418335, 0.11418335];[0.00262127, 0.00669668, 0.00030705, 0.00134431, 0.00049052, 0.00092118]
[0.9637709, -0.02667314, 0.26673144, 0.09637709, -0.00963771, -0.00266731];[0.96651157, -0.01988893, 0.26706898, 0.09780199, -0.01015466, -0.00171988];[0.77322491, 0.11338755, 0.11338755];[0.00274067, 0.00678421, 0.00033754, 0.0014249, 0.00051695, 0.00094743]
[0.96105544, -0.02763556, 0.27635565, 0.09610554, -0.00961055, -0.00276356];[0.96390982, -0.02077753, 0.27672463, 0.09761086, -0.01015401, -0.00179079];[0.77449474, 0.11275263, 0.11275263];[0.00285438, 0.00685803, 0.00036898, 0.00150532, 0.00054346, 0.00097277]
[0.95824388, -0.02859522, 0.28595223, 0.09582439, -0.00958244, -0.00285952];[0.96120609, -0.02167602, 0.2863535, 0.09740986, -0.01015251, -0.00186236];[0.7754942, 0.1122529, 0.1122529];[0.00296221, 0.0069192, 0.00040127, 0.00158547, 0.00057007, 0.00099716]
[0.95533649, -0.02955202, 0.29552021, 0.09553365, -0.00955336, -0.0029552];[0.95840056, -0.0225833, 0.29595452, 0.09719893, -0.0101502, -0.00193457];[0.77626629, 0.11186686, 0.11186686];[0.00306407, 0.00696872, 0.00043431, 0.00166528, 0.00059684, 0.00102063]
[0.95233357, -0.03050586, 0.30505864, 0.09523336, -0.00952334, -0.00305059];[0.95549348, -0.02349828, 0.30552667, 0.09697802, -0.01014712, -0.00200741];[0.77684682, 0.11157659, 0.11157659];[0.00315991, 0.00700758, 0.00046803, 0.00174466, 0.00062378, 0.00104318]
[0.94923542, -0.03145666, 0.31456656, 0.09492354, -0.00949235, -0.00314567];[0.95248513, -0.02441996, 0.3150689, 0.09674711, -0.01014329, -0.00208088];[0.77726557, 0.11136721, 0.11136721];[0.00324971, 0.0070367, 0.00050234, 0.00182357, 0.00065094, 0.00106479]
[0.94604234, -0.0324043, 0.32404303, 0.09460423, -0.00946042, -0.00324043];[0.94937589, -0.02534736, 0.3245802, 0.09650618, -0.01013875, -0.00215496];[0.77754726, 0.11122637, 0.11122637];[0.00333355, 0.00705694, 0.00053717, 0.00190195, 0.00067833, 0.00108547]
[0.94275467, -0.03334871, 0.33348709, 0.09427547, -0.00942755, -0.00333487];[0.94616614, -0.02627957, 0.33405954, 0.09625523, -0.01013354, -0.00222963];[0.77771235, 0.11114383, 0.11114383];[0.00341147, 0.00706914, 0.00057245, 0.00197976, 0.00070599, 0.00110524]
[0.93937271, -0.03428978, 0.34289781, 0.09393727, -0.00939373, -0.00342898];[0.94285633, -0.02721575, 0.34350591, 0.09599427, -0.01012767, -0.00230488];[0.7777778, 0.1111111, 0.1111111];[0.00348362, 0.00707403, 0.0006081, 0.002057, 0.00073394, 0.0011241]
[0.93589682, -0.03522742, 0.35227423, 0.09358968, -0.00935897, -0.00352274];[0.93944693, -0.02815509, 0.35291832, 0.09572329, -0.0101212, -0.00238071];[0.77775765, 0.11112118, 0.11112118];[0.00355011, 0.00707233, 0.00064409, 0.00213361, 0.00076223, 0.00114203]
[0.93232735, -0.03616154, 0.36161543, 0.09323273, -0.00932327, -0.00361615];[0.93593845, -0.02909684, 0.36229577, 0.09544233, -0.01011412, -0.00245709];[0.77766353, 0.11116824, 0.11116824];[0.0036111, 0.0070647, 0.00068034, 0.0022096, 0.00079085, 0.00115906]
[0.92866464, -0.03709205, 0.37092047, 0.09286646, -0.00928665, -0.0037092];[0.93233142, -0.03004031, 0.37163727, 0.0951514, -0.01010648, -0.00253402];[0.77750507, 0.11124746, 0.11124746];[0.00366678, 0.00705174, 0.0007168, 0.00228494, 0.00081983, 0.00117518]
[0.92490906, -0.03801884, 0.38018842, 0.09249091, -0.00924909, -0.00380188];[0.9286264, -0.03098486, 0.38094185, 0.09485053, -0.0100983, -0.00261149];[0.77729028, 0.11135486, 0.11135486];[0.00371734, 0.00703398, 0.00075343, 0.00235962, 0.00084921, 0.00119039]
[0.92106099, -0.03894183, 0.38941834, 0.0921061, -0.00921061, -0.00389418];[0.92482397, -0.03192989, 0.39020853, 0.09453975, -0.01008959, -0.00268948];[0.77702581, 0.1114871, 0.1114871];[0.00376298, 0.00701194, 0.00079019, 0.00243365, 0.00087898, 0.0012047]
[0.91712082, -0.03986093, 0.39860933, 0.09171208, -0.00917121, -0.00398609];[0.9209247, -0.03287486, 0.39943635, 0.09421911, -0.01008038, -0.00276797];[0.77671718, 0.11164141, 0.11164141];[0.00380388, 0.00698607, 0.00082702, 0.00250703, 0.00090917, 0.00121812]
[0.91308894, -0.04077605, 0.40776045, 0.09130889, -0.00913089, -0.0040776];[0.91692922, -0.03381924, 0.40862436, 0.09388863, -0.01007069, -0.00284696];[0.77636901, 0.11181549, 0.11181549];[0.00384028, 0.00695681, 0.00086391, 0.00257974, 0.0009398, 0.00123064]
[0.90896575, -0.04168708, 0.4168708, 0.09089657, -0.00908966, -0.00416871];[0.91283812, -0.03476259, 0.41777159, 0.09354836, -0.01006052, -0.00292643];[0.77598517, 0.11200741, 0.11200741];[0.00387237, 0.00692449, 0.00090079, 0.00265179, 0.00097086, 0.00124228]
[0.90475166, -0.04259395, 0.42593947, 0.09047517, -0.00904752, -0.00425939];[0.90865205, -0.03570447, 0.42687712, 0.09319834, -0.01004991, -0.00300637];[0.77556889, 0.11221555, 0.11221555];[0.00390039, 0.00688948, 0.00093765, 0.00272317, 0.00100239, 0.00125302]
[0.9004471, -0.04349655, 0.43496553, 0.09004471, -0.00900447, -0.00434966];[0.90437162, -0.03664448, 0.43594001, 0.09283862, -0.01003885, -0.00308675];[0.7751229, 0.11243855, 0.11243855];[0.00392452, 0.00685207, 0.00097448, 0.00279391, 0.00103438, 0.00126291]
[0.8960525, -0.04439481, 0.44394811, 0.08960525, -0.00896052, -0.00443948];[0.89999747, -0.03758227, 0.44495932, 0.09246924, -0.01002737, -0.00316757];[0.7746495, 0.11267525, 0.11267525];[0.00394497, 0.00681254, 0.00101121, 0.00286399, 0.00106685, 0.00127191]
[0.89156829, -0.04528863, 0.45288629, 0.08915683, -0.00891568, -0.00452886];[0.89553026, -0.03851749, 0.45393413, 0.09209025, -0.01001548, -0.0032488];[0.77415063, 0.11292468, 0.11292468];[0.00396197, 0.00677114, 0.00104784, 0.00293342, 0.0010998, 0.00128006]
[0.88699492, -0.04617792, 0.46177918, 0.08869949, -0.00886995, -0.00461779];[0.89097062, -0.03944986, 0.46286354, 0.09170171, -0.01000318, -0.00333043];[0.77362796, 0.11318602, 0.11318602];[0.0039757, 0.00672806, 0.00108436, 0.00300222, 0.00113323, 0.00128736]
[0.88233286, -0.04706259, 0.47062589, 0.08823329, -0.00882333, -0.00470626];[0.8863192, -0.04037909, 0.47174662, 0.09130366, -0.00999048, -0.00341245];[0.77308291, 0.11345855, 0.11345855];[0.00398634, 0.0066835, 0.00112073, 0.00307037, 0.00116715, 0.00129381]
